loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_tenure,cibil_score,residential_asset_value,commercial_asset_value,luxury_asset_value,bank_assets_value,loan_status
L100000,3,Graduate,Yes,1602879,1250847,20,826,1311629,5363240,3648338,431838,Approved
L100001,4,Not Graduate,No,1622608,1084104,30,624,900542,2028217,1431041,1851608,Rejected
L100002,2,Not Graduate,Yes,1221984,2500700,20,513,3954780,659297,272667,7498996,Rejected
L100003,4,Graduate,Yes,274116,3925416,15,507,2945759,13587278,3453402,7292239,Rejected
L100004,4,Graduate,No,1172780,4068293,30,468,8683376,6985481,4732361,5050046,Rejected
L100005,1,Not Graduate,No,805496,1266053,5,629,3352921,10953486,2029122,1987881,Rejected
L100006,2,Graduate,No,2264565,4151599,30,579,61264,5748777,112035,6460223,Rejected
L100007,2,Graduate,No,1020946,1744000,10,604,5094502,7226460,1224293,6189237,Rejected
L100008,2,Graduate,No,1254934,1440598,5,445,2459507,9551544,3901848,1708365,Rejected
L100009,4,Graduate,No,2313349,4596925,10,815,3452097,5506774,1390502,659966,Approved
L100010,3,Not Graduate,No,643992,2619849,20,389,7292306,8977914,340526,7737726,Rejected
L100011,2,Not Graduate,No,1946725,781658,5,752,1218284,5237264,1216733,3784396,Approved
L100012,5,Graduate,Yes,2470644,3846315,20,359,7088727,1445819,865144,5719912,Rejected
L100013,4,Graduate,No,935833,4929797,25,610,3080202,12299528,3788659,4889798,Rejected
L100014,1,Graduate,Yes,226240,3825702,20,827,6002874,2233969,1418137,6754635,Rejected
L100015,3,Graduate,No,385595,4140284,20,526,7518933,192803,2307306,6141092,Rejected
L100016,5,Not Graduate,No,1721286,2449771,10,773,5383182,10048456,4060416,4134129,Approved
L100017,5,Graduate,No,1477042,2505918,30,840,4688827,14525903,3895972,4350851,Approved
L100018,1,Graduate,No,2098061,3855721,25,378,6517320,11300643,979532,7144065,Rejected
L100019,3,Graduate,No,988357,2416304,20,732,5792819,2453039,522797,6968546,Approved
L100020,4,Graduate,Yes,340920,360435,20,452,9010815,13440818,4115336,1200761,Rejected
L100021,0,Graduate,Yes,1048332,208477,25,700,7642139,5959776,991120,3821099,Approved
L100022,3,Not Graduate,No,1029854,2445682,25,578,9030672,7352182,3497172,4250050,Rejected
L100023,1,Graduate,No,2479228,3780370,5,356,865630,13382750,3144158,4055235,Rejected
L100024,5,Not Graduate,Yes,1221775,2487839,10,485,5387691,11685189,910906,3843941,Rejected
L100025,4,Graduate,No,313187,3738173,25,697,4325001,5431369,414399,6066130,Rejected
L100026,3,Graduate,No,605150,1396652,25,457,2972881,13485391,2006518,2265545,Rejected
L100027,0,Graduate,No,659551,3978685,15,658,8101294,6153283,4449113,6574909,Rejected
L100028,0,Not Graduate,No,1712518,2030407,30,739,9698597,6132469,729672,6179072,Approved
L100029,2,Not Graduate,No,1204096,3327746,25,888,8557286,14174101,448781,6581776,Approved
L100030,2,Graduate,No,1832678,851125,10,765,5811303,6491212,4635563,593167,Approved
L100031,1,Graduate,No,317527,2436537,30,745,5279947,8220879,2161513,5834760,Rejected
